Customer_Key,Customer_Name,Birth_Date,Marital_Status,Gender,Yearly_Income,Total_Children,Number_of_Children_at_Home,Education,Occupation,House_Owner,Number_of_Cars_Owned,Date_of_First_Purchase,Customer_Type,Company_Name,Country,State
25,"Xie, Russell",1978-09-17 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-12-29 00:00:00.000,"Person","","United States","California"
37,"Russell, Jennifer",1978-12-18 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-07-26 00:00:00.000,"Person","","United States","California"
42,"Carter, Amanda",1977-10-16 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-07-18 00:00:00.000,"Person","","United States","California"
44,"Simmons, Nathan",1976-02-24 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-11-09 00:00:00.000,"Person","","United States","California"
929,"Morris, Isabella",1978-09-07 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-12-02 00:00:00.000,"Person","","United States","California"
939,"Alexander, Seth",1977-09-21 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-09-08 00:00:00.000,"Person","","United States","California"
955,"Garcia, Joseph",1975-08-17 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2002-05-04 00:00:00.000,"Person","","United States","California"
956,"Green, Gabriel",1975-04-05 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2002-05-01 00:00:00.000,"Person","","United States","California"
2031,"Lopez, Sophia",1977-07-13 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-03-12 00:00:00.000,"Person","","United States","California"
2987,"Anderson, Chloe",1979-10-25 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2002-07-11 00:00:00.000,"Person","","United States","California"
2994,"Patterson, Zachary",1978-08-24 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2002-07-10 00:00:00.000,"Person","","United States","California"
3005,"Kelly, Caitlin",1977-04-13 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-02-27 00:00:00.000,"Person","","United States","California"
4012,"Mitchell, Amber",1977-11-13 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-01-10 00:00:00.000,"Person","","United States","California"
4429,"Howard, Richard",1979-05-01 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2002-12-17 00:00:00.000,"Person","","United States","California"
4433,"Kumar, Alvin",1978-08-18 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2002-12-23 00:00:00.000,"Person","","United States","California"
5020,"Hernandez, Amber",1979-02-02 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-02-11 00:00:00.000,"Person","","United States","California"
5337,"Wright, Jonathan",1977-06-08 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-04-03 00:00:00.000,"Person","","United States","California"
5357,"Baker, Sophia",1975-12-18 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-01-16 00:00:00.000,"Person","","United States","California"
5491,"Robinson, Megan",1980-05-17 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-11-20 00:00:00.000,"Person","","United States","California"
5504,"Anderson, Christian",1975-03-02 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-11-18 00:00:00.000,"Person","","United States","California"
5653,"Richardson, Nicole",1973-08-06 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-01-25 00:00:00.000,"Person","","United States","California"
6481,"Gonzalez, Lucas",1978-08-20 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-12-19 00:00:00.000,"Person","","United States","California"
6507,"Simmons, Alexandria",1973-04-19 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-08-07 00:00:00.000,"Person","","United States","California"
7449,"Bailey, Jennifer",1978-01-02 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-04-15 00:00:00.000,"Person","","United States","California"
7455,"Perez, George",1977-11-23 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-08-02 00:00:00.000,"Person","","United States","California"
7474,"Rogers, Nathaniel",1975-05-27 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-02-07 00:00:00.000,"Person","","United States","California"
7475,"Smith, James",1975-07-11 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-04-04 00:00:00.000,"Person","","United States","California"
7799,"Allen, Andrea",1978-06-13 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-05-03 00:00:00.000,"Person","","United States","California"
7893,"Howard, Chase",1977-11-16 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-05-18 00:00:00.000,"Person","","United States","California"
8672,"Davis, Michael",1978-07-02 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-09-27 00:00:00.000,"Person","","United States","California"
8757,"Yuan, Nicolas",1977-08-03 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-02-15 00:00:00.000,"Person","","United States","California"
8760,"Barnes, Sydney",1976-04-06 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-11-30 00:00:00.000,"Person","","United States","California"
8779,"Jones, Isabella",1975-08-16 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-08-24 00:00:00.000,"Person","","United States","California"
9412,"James, Cole",1977-06-05 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-11-15 00:00:00.000,"Person","","United States","California"
9414,"Powell, Taylor",1976-05-06 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-09-24 00:00:00.000,"Person","","United States","California"
9415,"Bailey, Amanda",1976-11-23 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-04-13 00:00:00.000,"Person","","United States","California"
9423,"Brooks, Maria",1980-08-17 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-01-09 00:00:00.000,"Person","","United States","California"
9436,"Green, Natalie",1975-11-26 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-01-17 00:00:00.000,"Person","","United States","California"
9439,"Scott, Robert",1975-12-22 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-10-13 00:00:00.000,"Person","","United States","California"
10283,"Smith, Julia",1978-03-10 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-04-11 00:00:00.000,"Person","","United States","California"
10369,"Collins, Mason",1977-09-26 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-12-31 00:00:00.000,"Person","","United States","California"
10399,"Diaz, Ethan",1975-03-25 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-05-28 00:00:00.000,"Person","","United States","California"
10400,"Hughes, Ian",1975-11-25 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-05-01 00:00:00.000,"Person","","United States","California"
11153,"King, Marcus",1978-02-18 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-06-09 00:00:00.000,"Person","","United States","California"
11163,"Yuan, Brad",1977-04-11 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-12-07 00:00:00.000,"Person","","United States","California"
11164,"Scott, Morgan",1977-07-01 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-08-08 00:00:00.000,"Person","","United States","California"
11185,"Carter, Jeremy",1975-07-27 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-04-15 00:00:00.000,"Person","","United States","California"
11186,"Henderson, Connor",1975-06-02 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-09-27 00:00:00.000,"Person","","United States","California"
12081,"Barnes, Jocelyn",1978-03-09 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-11-17 00:00:00.000,"Person","","United States","California"
12319,"Morgan, Patrick",1978-10-03 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-02-04 00:00:00.000,"Person","","United States","California"
12338,"Green, Isaiah",1975-11-07 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-03-31 00:00:00.000,"Person","","United States","California"
12339,"Jenkins, Lucas",1973-12-13 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-02-18 00:00:00.000,"Person","","United States","California"
13233,"Johnson, Ryan",1979-02-17 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-06-20 00:00:00.000,"Person","","United States","California"
13239,"Richardson, Sean",1978-09-07 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-06-21 00:00:00.000,"Person","","United States","California"
13240,"Hernandez, Miguel",1978-11-27 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-06-04 00:00:00.000,"Person","","United States","California"
13262,"Jones, Emma",1977-06-15 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-01-13 00:00:00.000,"Person","","United States","California"
13264,"Brooks, Brooke",1977-08-15 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-01-13 00:00:00.000,"Person","","United States","California"
13290,"Gonzalez, Robert",1975-12-16 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-10-06 00:00:00.000,"Person","","United States","California"
14917,"Serrano, Naomi",1978-07-13 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2001-11-13 00:00:00.000,"Person","","United States","California"
